SNo,IsBadBuy,VehicleAge,VehOdo,ARCP,VehBCost,WarrantyCost
0,0,3,2,4,4,2
1,0,2,2,4,2,1
2,0,2,2,1,1,2
3,0,3,2,3,1,1
4,0,2,2,3,1,1
5,1,3,2,3,1,1
6,0,1,3,4,2,3
7,0,3,3,1,0,3
8,0,2,2,4,3,2
9,0,3,2,1,0,3
10,0,4,2,3,1,2
11,0,1,2,3,3,2
12,0,2,3,3,2,0
13,0,4,4,1,0,1
14,1,2,2,4,2,1
15,0,2,4,3,0,0
16,1,2,2,4,1,1
17,0,2,3,1,0,1
18,0,1,2,4,3,2
19,0,3,3,2,2,1
20,0,1,2,3,1,2
21,0,2,2,4,3,2
22,0,2,2,4,2,1
23,0,4,3,1,1,4
24,0,1,3,4,4,1
25,0,2,2,3,0,1
26,0,2,1,2,1,1
27,0,1,0,2,1,0
28,0,1,1,4,3,1
29,0,3,2,2,1,3
30,0,2,2,4,1,2
31,0,3,3,2,1,2
32,0,1,2,4,2,2
33,0,3,1,1,0,1
34,0,1,2,4,1,1
35,1,2,2,2,0,1
36,0,2,2,2,1,2
37,0,3,2,1,0,2
38,0,3,3,2,1,3
39,0,3,3,4,2,2
40,0,3,2,4,2,1
41,0,1,3,0,3,4
42,0,2,2,4,4,2
43,0,2,3,4,3,2
44,0,0,1,3,1,1
45,0,1,2,4,1,2
46,0,2,2,4,3,1
47,0,1,1,4,3,1
48,0,2,3,1,0,2
49,0,2,2,4,2,2
50,0,2,2,3,1,2
51,0,1,2,4,3,0
52,0,3,3,4,4,3
53,0,1,3,4,3,3
54,1,1,0,3,1,0
55,0,2,3,3,1,1
56,0,1,2,3,1,2
57,0,3,3,4,3,1
58,0,1,3,4,2,3
59,0,1,3,4,2,2
60,1,3,1,2,2,1
61,0,2,1,3,1,0
62,0,2,3,1,0,2
63,0,2,1,2,1,0
64,0,1,1,4,3,1
65,0,2,1,1,1,0
66,1,2,2,4,2,1
67,0,3,3,4,3,1
68,0,1,2,4,4,2
69,0,1,2,4,2,1
70,0,2,2,2,1,2
71,0,1,1,3,2,1
72,1,2,2,3,1,1
73,0,2,3,3,0,2
74,0,0,1,3,2,1
75,0,2,2,3,0,1
76,0,4,2,3,2,3
77,0,1,1,4,2,1
78,0,2,3,0,1,2
79,0,2,2,4,1,1
80,0,1,3,4,2,2
81,0,3,2,2,0,2
82,0,3,1,1,0,2
83,0,2,3,4,1,1
84,0,1,1,4,1,0
85,0,2,3,3,0,2
86,0,3,2,4,4,2
87,0,0,1,4,1,1
88,0,3,3,1,0,2
89,0,2,1,1,0,1
90,0,2,0,3,1,0
91,0,2,3,4,3,2
92,0,1,2,2,1,0
93,0,1,1,3,1,2
94,0,3,0,3,1,0
95,0,3,3,2,2,1
96,0,1,2,3,1,1
97,0,1,3,4,3,3
98,0,3,2,1,1,3
99,1,2,2,2,0,1
100,0,4,3,1,1,3
101,0,3,3,2,1,2
102,0,1,3,3,1,2
103,1,4,2,2,1,3
104,0,2,1,2,1,1
105,0,2,2,4,3,2
106,0,2,3,2,0,3
107,1,1,1,4,2,0
108,0,1,2,3,2,2
109,1,4,2,2,1,1
110,0,1,3,4,2,2
111,0,1,1,3,2,1
112,0,1,2,4,3,3
113,0,3,2,1,0,1
114,0,2,2,3,2,1
115,0,2,2,4,1,2
116,0,3,2,1,1,3
117,0,2,2,4,1,2
118,0,2,2,3,1,1
119,0,1,2,4,3,3
120,0,1,1,4,1,0
121,0,1,1,2,1,1
122,0,2,1,4,3,0
123,0,1,2,2,1,1
124,0,2,1,4,1,1
125,0,2,2,4,3,1
126,0,2,1,4,1,1
127,0,2,2,1,0,1
128,0,1,3,3,2,3
129,0,2,2,1,0,1
130,0,4,2,2,0,2
131,0,1,2,3,1,1
132,1,3,3,4,2,4
133,0,3,3,3,1,1
134,0,2,2,2,1,1
135,0,2,3,1,1,1
136,0,2,3,4,3,2
137,0,2,2,4,3,2
138,0,3,2,2,1,2
139,0,1,1,4,2,1
140,0,2,1,3,1,0
141,0,3,3,2,0,3
142,0,1,2,3,1,1
143,0,1,1,4,2,1
144,0,2,2,4,3,2
145,1,2,1,4,3,1
146,1,3,2,1,0,2
147,0,2,1,3,0,2
148,0,0,1,3,1,1
149,0,2,2,2,1,1
150,0,1,2,4,3,0
151,0,1,1,4,2,1
152,0,2,0,2,1,0
153,0,1,2,4,3,2
154,0,2,2,1,0,1
155,0,2,2,3,1,0
156,0,2,2,1,0,1
157,0,2,1,1,0,1
158,0,2,1,1,0,1
159,0,1,2,4,3,2
160,0,2,1,2,1,0
161,0,1,3,4,2,3
162,0,1,2,4,2,1
163,0,2,2,1,0,1
164,0,1,2,4,2,3
165,0,0,1,3,3,1
166,0,1,2,4,3,2
167,0,3,3,1,0,2
168,0,3,3,1,0,1
169,0,1,3,4,1,2
170,0,2,1,3,1,1
171,0,1,3,4,2,2
172,0,1,1,1,1,0
173,0,2,3,3,1,1
174,1,4,2,1,1,1
175,0,1,1,4,3,1
176,0,2,3,1,0,1
177,0,2,3,2,1,2
178,1,1,1,2,1,1
179,0,3,2,2,2,1
180,0,2,1,1,0,1
181,1,2,3,4,4,2
182,1,4,3,2,0,3
183,0,2,2,4,3,1
184,1,1,3,4,3,2
185,0,1,2,4,2,2
186,0,2,3,4,3,1
187,0,2,1,4,4,0
188,0,2,2,3,1,0
189,0,2,3,3,1,3
190,0,1,2,4,3,2
191,0,0,1,3,1,1
192,0,4,3,3,2,1
193,0,2,2,4,3,2
194,0,2,1,2,1,1
195,0,2,2,4,3,2
196,0,4,1,2,0,4
197,0,2,2,4,3,0
198,0,1,2,4,3,1
199,0,3,2,1,1,3
200,0,0,1,3,2,1
201,1,3,3,1,2,2
202,0,2,2,4,2,2
203,0,2,2,1,0,1
204,0,1,2,3,2,1
205,0,2,2,3,1,3
206,0,1,2,4,3,2
207,1,2,2,3,1,1
208,1,0,1,3,1,1
209,0,1,3,4,2,2
210,0,3,2,4,4,2
211,0,1,2,4,2,2
212,1,2,2,4,3,1
213,0,2,3,4,2,2
214,0,3,3,1,0,1
215,0,1,0,4,2,1
216,0,1,2,2,1,0
217,0,2,2,3,3,2
218,0,2,1,2,0,0
219,0,3,2,1,0,3
220,0,2,1,4,1,0
221,0,2,2,4,3,1
222,1,2,2,4,3,0
223,0,0,0,4,1,0
224,0,3,3,1,0,3
225,0,2,3,4,3,2
226,0,0,1,3,2,0
227,0,2,3,2,0,2
228,0,1,2,4,2,3
229,0,2,3,4,4,2
230,0,1,2,4,3,0
231,0,1,2,4,2,3
232,0,2,1,1,1,1
233,0,3,2,2,1,1
234,0,1,2,4,2,1
235,0,2,3,1,0,2
236,0,1,2,4,2,3
237,0,3,2,4,3,2
238,0,2,3,4,2,3
239,0,3,3,4,4,3
240,0,2,2,3,1,2
241,0,3,3,4,2,4
242,0,2,3,2,1,2
243,0,3,3,4,1,4
244,0,2,3,4,3,2
245,0,2,3,4,3,2
246,0,2,1,3,1,1
247,0,2,2,3,2,2
248,0,2,3,1,0,2
249,0,1,3,4,2,2
250,0,3,3,4,2,0
251,0,1,1,4,2,0
252,0,2,1,3,1,1
253,0,3,3,1,1,3
254,0,2,3,4,4,2
255,0,2,2,4,3,2
256,0,1,3,4,2,1
257,0,1,2,2,1,2
258,0,1,3,4,2,2
259,0,1,0,4,1,0
260,0,3,2,2,0,2
261,0,2,2,2,1,2
262,1,2,3,3,0,1
263,1,2,2,4,3,1
264,0,2,3,3,0,2
265,0,1,3,4,3,1
266,0,3,2,3,1,4
267,0,2,1,3,1,1
268,0,2,3,4,4,2
269,1,2,2,2,1,2
270,1,4,2,1,0,2
271,0,2,3,4,1,2
272,0,3,3,2,0,2
273,0,1,2,4,2,1
274,0,1,0,4,1,0
275,0,2,1,3,1,1
276,0,2,3,3,1,1
277,0,1,1,3,1,0
278,0,4,3,2,0,2
279,0,2,1,0,1,0
280,0,3,2,2,2,2
281,0,0,1,3,1,1
282,0,3,2,4,2,2
283,0,3,2,4,1,1
